periodo,concepto,rotulo,documento_origen,estado_financiero,pagina,nota,evidencia_linea,valor_pdf,valor_consolidado,coincide,estado,confianza
2025,b_inversiones,Inversiones,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Inversiones, neto 8 171.695 181.436",171695.0,171695.0,True,ACEPTADO,ALTA
2020,b_cuentas_por_cobrar,Cuentas por cobrar,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Cuentas comerciales por cobrar y otras cuentas por cobrar, neto 9 45.704 40.432",40432.0,40432.0,True,ACEPTADO,ALTA
2021,b_cuentas_por_cobrar,Cuentas por cobrar,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Cuentas comerciales por cobrar y otras cuentas por cobrar, neto 9 45.704 40.432",45704.0,45704.0,True,ACEPTADO,ALTA
2022,b_cuentas_por_cobrar,Cuentas por cobrar,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Cuentas comerciales por cobrar y otras cuentas por cobrar, neto 9 56.614 45.704",56614.0,56614.0,True,ACEPTADO,ALTA
2023,b_cuentas_por_cobrar,Cuentas por cobrar,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Cuentas comerciales por cobrar y otras cuentas por cobrar, neto 9 43.507 56.614",43507.0,43507.0,True,ACEPTADO,ALTA
2024,b_cuentas_por_cobrar,Cuentas por cobrar,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Cuentas comerciales por cobrar y otras cuentas por cobrar, neto 9 25.431 43.507",25431.0,25431.0,True,ACEPTADO,ALTA
2025,b_cuentas_por_cobrar,Cuentas por cobrar,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Cuentas comerciales por cobrar y otras cuentas por cobrar, neto 9 53.683 25.431",53683.0,53683.0,True,ACEPTADO,ALTA
2020,b_impuesto_corriente_activo,Impuesto corriente (activo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Activo Por Impuesto A Las Ganancias Corrientes, Neto 11 - 6.123",6123.0,6123.0,True,ACEPTADO,ALTA
2021,b_impuesto_corriente_activo,Impuesto corriente (activo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Activo Por Impuesto A Las Ganancias Corrientes, Neto 11 - 6.123",,,True,ACEPTADO,ALTA
2022,b_impuesto_corriente_activo,Impuesto corriente (activo),Estados Financieros_2022.pdf,,,,,,,True,NO_ENCONTRADO,
2023,b_impuesto_corriente_activo,Impuesto corriente (activo),Estados Financieros_2023.pdf,,,,,,,True,NO_ENCONTRADO,
2024,b_impuesto_corriente_activo,Impuesto corriente (activo),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Activo Por Impuesto A Las Ganancias Corrientes, Neto 10 15.235 -",15235.0,15235.0,True,ACEPTADO,ALTA
2025,b_impuesto_corriente_activo,Impuesto corriente (activo),Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Activo por impuesto a las ganancias corrientes, Neto 10 24.655 15.235",24655.0,24655.0,True,ACEPTADO,ALTA
2020,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,12.2,"Activo por impuesto diferido, neto 12.2 1.343 -",,,True,ACEPTADO,ALTA
2021,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,12.2,"Activo por impuesto diferido, neto 12.2 1.343 -",1343.0,1343.0,True,ACEPTADO,ALTA
2022,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,11.2,"Activo por impuesto diferido, neto 11.2 8.963 1.343",8963.0,8963.0,True,ACEPTADO,ALTA
2023,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,11.2,"Activo por impuesto diferido, neto 11.2 2.766 8.963",2766.0,2766.0,True,ACEPTADO,ALTA
2024,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Activo por impuesto diferido, neto 12 9.071 2.766",9071.0,9071.0,True,ACEPTADO,ALTA
2025,b_impuesto_diferido_activo,Impuesto diferido (activo),Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Activo por impuesto diferido, neto 12 11.609 9.071",11609.0,11609.0,True,ACEPTADO,ALTA
2020,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Otros activos no financieros, neto 13 2.812 1.767",1767.0,1767.0,True,ACEPTADO,ALTA
2021,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Otros activos no financieros, neto 13 2.812 1.767",2812.0,2812.0,True,ACEPTADO,ALTA
2022,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Otros activos no financieros, neto 12 3.317 2.812",3317.0,3317.0,True,ACEPTADO,ALTA
2023,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Otros activos no financieros, neto 12 4.136 3.317",4136.0,4136.0,True,ACEPTADO,ALTA
2024,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Otros activos no financieros, neto 13 4.772 4.136",4772.0,4772.0,True,ACEPTADO,ALTA
2025,b_otros_activos_no_financieros,Otros activos no financieros,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Otros activos no financieros, neto 13 5.131 4.772",5131.0,5131.0,True,ACEPTADO,ALTA
2020,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Propiedades y equipo, neto 14 16.302 17.657",17657.0,17657.0,True,ACEPTADO,ALTA
2021,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Propiedades y equipo, neto 14 16.302 17.657",16302.0,16302.0,True,ACEPTADO,ALTA
2022,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Propiedades y equipo, neto 13 18.183 16.302",18183.0,18183.0,True,ACEPTADO,ALTA
2023,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Propiedades y equipo, neto 13 18.178 18.183",18178.0,18178.0,True,ACEPTADO,ALTA
2024,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Propiedades y equipo, neto 14 17.700 18.178",17700.0,17700.0,True,ACEPTADO,ALTA
2025,b_propiedades_planta_equipo,Propiedades y equipo,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Propiedades y equipo, neto 14 21.834 17.700",21834.0,21834.0,True,ACEPTADO,ALTA
2020,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Derecho en uso Activo 17 6.641 8.820,8820.0,8820.0,True,ACEPTADO,ALTA
2021,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Derecho en uso Activo 17 6.641 8.820,6641.0,6641.0,True,ACEPTADO,ALTA
2022,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Derecho en uso Activo 16 5.135 6.641,5135.0,5135.0,True,ACEPTADO,ALTA
2023,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Derecho en uso Activo 15 5.180 5.135,5180.0,5180.0,True,ACEPTADO,ALTA
2024,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Derecho en uso Activo 15 5.026 5.180,5026.0,5026.0,True,ACEPTADO,ALTA
2025,b_derecho_uso_activo,Derecho de uso (activo),Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Derecho en uso Activo 15 4.288 5.026,4288.0,4288.0,True,ACEPTADO,ALTA
2020,b_activos_intangibles,Activos intangibles,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Activos intangibles, neto 15 11.594 14.445",14445.0,14445.0,True,ACEPTADO,ALTA
2021,b_activos_intangibles,Activos intangibles,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Activos intangibles, neto 15 11.594 14.445",11594.0,11594.0,True,ACEPTADO,ALTA
2022,b_activos_intangibles,Activos intangibles,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Activos intangibles, neto 14 6.528 11.594",6528.0,6528.0,True,ACEPTADO,ALTA
2023,b_activos_intangibles,Activos intangibles,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Activos intangibles, neto 14 9.112 6.528",9112.0,9112.0,True,ACEPTADO,ALTA
2024,b_activos_intangibles,Activos intangibles,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Activos intangibles, neto 16 9.220 9.112",9220.0,9220.0,True,ACEPTADO,ALTA
2025,b_activos_intangibles,Activos intangibles,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Activos intangibles, neto 16 9.214 9.220",9214.0,9214.0,True,ACEPTADO,ALTA
2020,b_activo_total,Total activos,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de Activos $ 348.286 $ 359.005,359005.0,359005.0,True,ACEPTADO,ALTA
2021,b_activo_total,Total activos,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de Activos $ 348.286 $ 359.005,348286.0,348286.0,True,ACEPTADO,ALTA
2022,b_activo_total,Total activos,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de Activos $ 334.823 $ 348.286,334823.0,334823.0,True,ACEPTADO,ALTA
2023,b_activo_total,Total activos,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de Activos $ 375.984 $ 334.823,375984.0,375984.0,True,ACEPTADO,ALTA
2024,b_activo_total,Total activos,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Total, de Activos $ 314.960 $ 375.984",314960.0,314960.0,True,ACEPTADO,ALTA
2025,b_activo_total,Total activos,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Total, de Activos $ 348.129 $ 314.960",348129.0,348129.0,True,ACEPTADO,ALTA
2020,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Cuentas comerciales por pagar y otras cuentas por pagar 16 32.271 28.371,28371.0,28371.0,True,ACEPTADO,ALTA
2021,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Cuentas comerciales por pagar y otras cuentas por pagar 16 32.271 28.371,32271.0,32271.0,True,ACEPTADO,ALTA
2022,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Cuentas comerciales por pagar y otras cuentas por pagar 15 27.417 32.271,27417.0,27417.0,True,ACEPTADO,ALTA
2023,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Cuentas comerciales por pagar y otras cuentas por pagar 16 35.040 27.417,35040.0,35040.0,True,ACEPTADO,ALTA
2024,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Cuentas comerciales por pagar y otras cuentas por pagar 17 21.184 35.040,21184.0,21184.0,True,ACEPTADO,ALTA
2025,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Cuentas comerciales por pagar y otras cuentas por pagar 17 18.123 21.184,18123.0,18123.0,True,ACEPTADO,ALTA
2020,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Derecho en uso pasivo 18 7.767 9.689,9689.0,9689.0,True,ACEPTADO,ALTA
2021,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Derecho en uso pasivo 18 7.767 9.689,7767.0,7767.0,True,ACEPTADO,ALTA
2022,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Derecho en uso pasivo 17 6.207 7.767,6207.0,6207.0,True,ACEPTADO,ALTA
2023,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Derecho en uso pasivo 17 6.331 6.207,6331.0,6331.0,True,ACEPTADO,ALTA
2024,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Derecho en uso pasivo 18 6.117 6.331,6117.0,6117.0,True,ACEPTADO,ALTA
2025,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Derecho en uso pasivo 18 5.306 6.117,5306.0,5306.0,True,ACEPTADO,ALTA
2020,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Pasivo por beneficios a los empleados 19 3.189 5.102,5102.0,5102.0,True,ACEPTADO,ALTA
2021,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Pasivo por beneficios a los empleados 19 3.189 5.102,3189.0,3189.0,True,ACEPTADO,ALTA
2022,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Pasivo por beneficios a los empleados 18 4.084 3.189,4084.0,4084.0,True,ACEPTADO,ALTA
2023,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Pasivo por beneficios a los empleados 18 4.487 4.084,4487.0,4487.0,True,ACEPTADO,ALTA
2024,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Pasivo por beneficios a los empleados 19 5.094 4.487,5094.0,5094.0,True,ACEPTADO,ALTA
2025,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Pasivo por beneficios a los empleados 19 8.461 5.094,8461.0,8461.0,True,ACEPTADO,ALTA
2020,b_provisiones,Provisiones,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Provisiones 22 16.413 13.111,13111.0,13111.0,True,ACEPTADO,ALTA
2021,b_provisiones,Provisiones,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Provisiones 22 16.413 13.111,16413.0,16413.0,True,ACEPTADO,ALTA
2022,b_provisiones,Provisiones,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Provisiones 21 22.130 16.413,22130.0,22130.0,True,ACEPTADO,ALTA
2023,b_provisiones,Provisiones,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Procesos Judiciales 21 23.651 22.130,23651.0,23651.0,True,ACEPTADO,ALTA
2024,b_provisiones,Provisiones,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Procesos Judiciales 20 23.286 23.651,23286.0,23286.0,True,ACEPTADO,ALTA
2025,b_provisiones,Provisiones,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Procesos Judiciales 20 22.464 23.286,22464.0,22464.0,True,ACEPTADO,ALTA
2020,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Pasivo Por Impuesto A Las Ganancias Corrientes, Neto 20 2.276 -",,,True,ACEPTADO,ALTA
2021,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Pasivo Por Impuesto A Las Ganancias Corrientes, Neto 20 2.276 -",2276.0,2276.0,True,ACEPTADO,ALTA
2022,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Pasivo Por Impuesto A Las Ganancias Corrientes, Neto 19 7.978 2.276",7978.0,7978.0,True,ACEPTADO,ALTA
2023,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Pasivo Por Impuesto A Las Ganancias Corrientes, Neto 19 8.231 7.978",8231.0,8231.0,True,ACEPTADO,ALTA
2024,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Pasivo Por Impuesto A Las Ganancias Corrientes, Neto 21 - 8.231",,,True,ACEPTADO,ALTA
2025,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2025.pdf,,,,,,,True,NO_ENCONTRADO,
2020,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,12.2,"Pasivo por impuesto diferido, neto 12.2 - 6.581",6581.0,6581.0,True,ACEPTADO,ALTA
2021,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,12.2,"Pasivo por impuesto diferido, neto 12.2 - 6.581",,,True,ACEPTADO,ALTA
2022,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Pasivo por impuesto diferido, neto - -",,,True,ACEPTADO,ALTA
2023,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2023.pdf,,,,,,,True,NO_ENCONTRADO,
2024,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2024.pdf,,,,,,,True,NO_ENCONTRADO,
2025,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2025.pdf,,,,,,,True,NO_ENCONTRADO,
2020,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Otros pasivos no financieros, neto 21 3.482 3.151",3151.0,3151.0,True,ACEPTADO,ALTA
2021,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Otros pasivos no financieros, neto 21 3.482 3.151",3482.0,3482.0,True,ACEPTADO,ALTA
2022,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Otros pasivos no financieros, neto 20 3.682 3.482",3682.0,3682.0,True,ACEPTADO,ALTA
2023,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Otros pasivos no financieros, neto 20 4.595 3.682",4595.0,4595.0,True,ACEPTADO,ALTA
2024,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Otros pasivos no financieros, neto 22 4.422 4.595",4422.0,4422.0,True,ACEPTADO,ALTA
2025,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Otros pasivos no financieros, neto 21 5.941 4.422",5941.0,5941.0,True,ACEPTADO,ALTA
2020,b_pasivo_total,Total pasivos,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de pasivos 65.398 66.005,66005.0,66005.0,True,ACEPTADO,ALTA
2021,b_pasivo_total,Total pasivos,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de pasivos 65.398 66.005,65398.0,65398.0,True,ACEPTADO,ALTA
2022,b_pasivo_total,Total pasivos,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de pasivos $ 71.498 $ 65.398,71498.0,71498.0,True,ACEPTADO,ALTA
2023,b_pasivo_total,Total pasivos,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Total de pasivos $ 82.335 $ 71.498,82335.0,82335.0,True,ACEPTADO,ALTA
2024,b_pasivo_total,Total pasivos,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Total, de pasivos $ 60.103 $ 82.335",60103.0,60103.0,True,ACEPTADO,ALTA
2025,b_pasivo_total,Total pasivos,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Total, de pasivos $ 60.295 $ 60.103",60295.0,60295.0,True,ACEPTADO,ALTA
2020,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Capital suscrito y pagado 71.960 71.960,71960.0,71960.0,True,ACEPTADO,ALTA
2021,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Capital suscrito y pagado 71.960 71.960,71960.0,71960.0,True,ACEPTADO,ALTA
2022,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Capital suscrito y pagado 71.960 71.960,71960.0,71960.0,True,ACEPTADO,ALTA
2023,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Capital suscrito y pagado 71.960 71.960,71960.0,71960.0,True,ACEPTADO,ALTA
2024,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Capital suscrito y pagado 71.960 71.960,71960.0,71960.0,True,ACEPTADO,ALTA
2025,b_capital_suscrito,Capital suscrito y pagado,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Capital suscrito y pagado 71.960 71.960,71960.0,71960.0,True,ACEPTADO,ALTA
2020,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Prima en colocación de acciones 24 37.303 37.303,37303.0,37303.0,True,ACEPTADO,ALTA
2021,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Prima en colocación de acciones 24 37.303 37.303,37303.0,37303.0,True,ACEPTADO,ALTA
2022,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Prima en colocación de acciones 23 37.303 37.303,37303.0,37303.0,True,ACEPTADO,ALTA
2023,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Prima en colocación de acciones 23 37.303 37.303,37303.0,37303.0,True,ACEPTADO,ALTA
2024,b_prima_colocacion,Prima en colocacion de acciones,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Prima en colocación de acciones 24 37.303 37.303,37303.0,37303.0,True,ACEPTADO,ALTA
