periodo,id_indicador,valor
2023,28,0.3567303601654643
2024,28,0.2393319573807507
2025,28,0.275437782540845
2020,29,0.4581194930842793
2021,29,0.3533126734912685
2022,29,0.2960597492567708
2023,29,0.5363061994804348
2024,29,0.1614759737510584
2025,29,0.2232949774350755
2020,30,0.2958363398002012
2021,30,0.2331918476850696
2022,30,0.1647241188075605
2023,30,0.3173782778315848
2024,30,0.0925989627434377
2025,30,0.1186604448568459
2020,31,
2021,31,0.1346885511055562
2022,31,0.1060943421913633
2023,31,0.1973137574615894
2024,31,0.0607777185994812
2025,31,0.0933419194105165
2020,32,
2021,32,0.1654210540938515
2022,32,0.1326845021996913
2023,32,0.2518106769795358
2024,32,0.0765606939577689
2025,32,0.1140501685120998
2020,33,81649.0
2021,33,79727.0
2022,33,78167.0
2023,33,78291.0
2024,33,78077.0
2025,33,77266.0
2020,34,
2021,34,0.7690982550069403
2022,34,0.696986585937401
2023,34,0.3368443927443786
2024,34,0.2235751560421569
2025,34,0.3656167320059481
2020,35,
2021,35,0.2091771383885233
2022,35,0.1964522561216165
2023,35,0.0925388753880515
2024,35,0.0623224007672643
2025,35,0.1024987637922882
2020,36,
2021,36,
2022,36,
2023,36,
2024,36,
2025,36,
2020,37,
2021,37,
2022,37,
2023,37,
2024,37,
2025,37,
2020,38,54602.0
2021,38,33754.0
2022,38,49391.0
2023,38,35341.0
2024,38,51666.0
2025,38,80770.0
2020,39,1.4301923800038618
2021,39,1.3276543246140966
2022,39,1.149404962133954
2023,39,1.3052264272201457
2024,39,1.072727032176122
2025,39,1.030122352887045
2020,40,92.94288793103448
2021,40,127.32171581769435
2022,40,138.76865671641792
2023,40,102.7391304347826
2024,40,56.76834532374101
2025,40,96.78719723183391
2020,41,107.90517241379312
2021,41,146.7533512064343
2022,41,162.09701492537314
2023,41,118.17241379310344
2024,41,78.08489208633094
2025,41,124.28200692041524
2020,42,
2021,42,1.130391768895924
2022,42,1.2387099597409417
2023,42,0.7684848270745752
2024,42,0.5845266278989588
2025,42,2.110927608037435
2020,43,
2021,43,
2022,43,
2023,43,
2024,43,
2025,43,
2020,44,
2021,44,1.1374643121497303
2022,44,0.8495863158873291
2023,44,1.278039172776015
2024,44,0.6045662100456621
2025,44,0.8555041540785498
2020,45,
2021,45,1.5913978494623655
2022,45,1.179587482219061
2023,45,1.246909858305698
2024,45,1.1537717601547388
2025,45,1.07523051131601
2020,46,
2021,46,1.1050460171374168
2022,46,1.057438253877082
2023,46,1.2479630635524173
2024,46,0.9623503808487488
2025,46,1.343509724106739
2020,47,
2021,47,0.9232598969247324
2022,47,1.1153846153846154
2023,47,0.9997250178738382
2024,47,0.9737044779403676
2025,47,1.2335593220338985
2020,48,
2021,48,0.8026306680512288
2022,48,0.5630498533724341
2023,48,1.3958333333333333
2024,48,1.011852502194908
2025,48,0.999349240780911
2020,49,
2021,49,0.7837954008166774
2022,49,0.6395941870030162
2023,49,1.2254137014490267
2024,49,0.9967814161768822
2025,49,0.9477748139828724
2020,50,72603.0
2021,50,55705.0
2022,50,86292.0
2023,50,22595.0
2024,50,48620.0
2025,50,73394.0
2020,51,
2021,51,64941.0
2022,51,96049.0
2023,51,17387.0
2024,51,49036.0
2025,51,70010.0
2020,52,2151.0
2021,52,1892.0
2022,52,2205.0
2023,52,2130.0
2024,52,2478.0
2025,52,2724.0
2020,53,
2021,53,34.32399577167019
2022,53,43.55963718820862
2023,53,8.162910798122066
2024,53,19.788539144471347
2025,53,25.701174743024964
2020,54,9689.0
2021,54,7767.0
2022,54,6207.0
2023,54,6331.0
2024,54,6117.0
2025,54,5306.0
2020,55,0.0967584085643524
2021,55,0.0709457607921226
2022,55,0.0571520648220616
2023,55,0.0803212341888583
2024,55,0.1127162836978754
2025,55,0.073863715459038
2020,56,-0.3418950227690341
2021,56,-0.1207913918778202
2022,56,-0.1321486119423599
2023,56,-0.2664518339021327
2024,56,-0.7546112882124233
2025,56,-0.5667710725969235
2020,57,
2021,57,0.0379221333550137
2022,57,0.076984838025859
2023,57,0.0044002800178193
2024,57,0.0262407559944604
2025,57,0.1501684659892745
2020,58,
2021,58,0.0932931213549572
2022,58,-0.0079742048630775
2023,58,-0.2742415174255329
2024,58,-0.3114905926085688
2025,58,0.3236838710866241
2020,59,
2021,59,0.1012278118514566
2022,59,-0.0211303194289443
2023,59,-0.2629524065609034
2024,59,-0.4242561326192595
2025,59,0.4179297409641607
2020,60,
2021,60,-0.1818619031260735
2022,60,-0.239229929459187
2023,60,0.9352043491459006
2024,60,-0.700581809885064
2025,60,0.4738772205553174
2020,61,
2021,61,-0.0298575228757259
2022,61,-0.0386550134085206
2023,61,0.1229336096982585
2024,61,-0.1623047789267628
2025,61,0.1053117856235712
2020,62,1.1084163517691514
2021,62,1.3315628149143433
2022,62,1.2715456577531252
2023,62,0.6621937655078003
2024,62,-0.353336190884412
2025,62,-0.4815652567292467
2020,63,0.5481762092449965
2021,63,0.5864749085521669
2022,63,0.6570217697111608
2023,63,0.5876686241967743
2024,63,0.7199390398780797
2025,63,0.7491562035911975
2020,64,
2021,64,1.2281745756119244
2022,64,1.2506275024578324
2023,64,1.276194220915159
2024,64,1.2596835768432797
2025,64,1.221853688378838
2020,65,
2021,65,0.1679665889112602
2022,65,0.1353520779831865
2023,65,0.2380271392822472
2024,65,0.0839775719551001
2025,65,0.1086169382449031
