periodo,concepto,valor
2025,b_impuesto_corriente_pasivo,
2020,b_impuesto_diferido_activo,
2021,b_impuesto_diferido_activo,1343.0
2022,b_impuesto_diferido_activo,8963.0
2023,b_impuesto_diferido_activo,2766.0
2024,b_impuesto_diferido_activo,9071.0
2025,b_impuesto_diferido_activo,11609.0
2020,b_impuesto_diferido_pasivo,6581.0
2021,b_impuesto_diferido_pasivo,
2022,b_impuesto_diferido_pasivo,
2023,b_impuesto_diferido_pasivo,
2024,b_impuesto_diferido_pasivo,
2025,b_impuesto_diferido_pasivo,
2020,b_inversiones,225836.0
2021,b_inversiones,242899.0
2022,b_inversiones,215524.0
2023,b_inversiones,265772.0
2024,b_inversiones,181436.0
2025,b_inversiones,171695.0
2020,b_ori_valorizacion,6500.0
2021,b_ori_valorizacion,6000.0
2022,b_ori_valorizacion,7072.0
2023,b_ori_valorizacion,7009.0
2024,b_ori_valorizacion,7079.0
2025,b_ori_valorizacion,14142.0
2020,b_otros_activos_no_financieros,1767.0
2021,b_otros_activos_no_financieros,2812.0
2022,b_otros_activos_no_financieros,3317.0
2023,b_otros_activos_no_financieros,4136.0
2024,b_otros_activos_no_financieros,4772.0
2025,b_otros_activos_no_financieros,5131.0
2020,b_otros_pasivos_no_financieros,3151.0
2021,b_otros_pasivos_no_financieros,3482.0
2022,b_otros_pasivos_no_financieros,3682.0
2023,b_otros_pasivos_no_financieros,4595.0
2024,b_otros_pasivos_no_financieros,4422.0
2025,b_otros_pasivos_no_financieros,5941.0
2020,b_pasivo_total,66005.0
2021,b_pasivo_total,65398.0
2022,b_pasivo_total,71498.0
2023,b_pasivo_total,82335.0
2024,b_pasivo_total,60103.0
2025,b_pasivo_total,60295.0
2020,b_patrimonio_total,293000.0
2021,b_patrimonio_total,282888.0
2022,b_patrimonio_total,263325.0
2023,b_patrimonio_total,293649.0
2024,b_patrimonio_total,254857.0
2025,b_patrimonio_total,287834.0
2020,b_prima_colocacion,37303.0
2021,b_prima_colocacion,37303.0
2022,b_prima_colocacion,37303.0
2023,b_prima_colocacion,37303.0
2024,b_prima_colocacion,37303.0
2025,b_prima_colocacion,37303.0
2020,b_propiedades_planta_equipo,17657.0
2021,b_propiedades_planta_equipo,16302.0
2022,b_propiedades_planta_equipo,18183.0
2023,b_propiedades_planta_equipo,18178.0
2024,b_propiedades_planta_equipo,17700.0
2025,b_propiedades_planta_equipo,21834.0
2020,b_provisiones,13111.0
2021,b_provisiones,16413.0
2022,b_provisiones,22130.0
2023,b_provisiones,23651.0
2024,b_provisiones,23286.0
2025,b_provisiones,22464.0
2020,b_reservas,104130.0
2021,b_reservas,105106.0
2022,b_reservas,95866.0
2023,b_reservas,92364.0
2024,b_reservas,102631.0
2025,b_reservas,118595.0
2020,b_total_pasivo_patrimonio,359005.0
2021,b_total_pasivo_patrimonio,348286.0
2022,b_total_pasivo_patrimonio,334823.0
2023,b_total_pasivo_patrimonio,375984.0
2024,b_total_pasivo_patrimonio,314960.0
2025,b_total_pasivo_patrimonio,348129.0
2020,b_utilidad_ejercicios_anteriores,708.0
2021,b_utilidad_ejercicios_anteriores,708.0
2022,b_utilidad_ejercicios_anteriores,708.0
2023,b_utilidad_ejercicios_anteriores,708.0
2024,b_utilidad_ejercicios_anteriores,708.0
2025,b_utilidad_ejercicios_anteriores,708.0
2020,b_utilidad_periodo,58220.0
2021,b_utilidad_periodo,47632.0
2022,b_utilidad_periodo,36237.0
2023,b_utilidad_periodo,70126.0
2024,b_utilidad_periodo,20997.0
2025,b_utilidad_periodo,30947.0
2020,c_adquisicion_intangibles,-6460.0
2021,c_adquisicion_intangibles,-4200.0
2022,c_adquisicion_intangibles,-3391.0
2023,c_adquisicion_intangibles,-4802.0
2024,c_adquisicion_intangibles,-6139.0
2025,c_adquisicion_intangibles,-6346.0
2020,c_adquisicion_ppye,-283.0
2021,c_adquisicion_ppye,-16.0
2022,c_adquisicion_ppye,-52.0
2023,c_adquisicion_ppye,-476.0
2024,c_adquisicion_ppye,-87.0
2025,c_adquisicion_ppye,-243.0
2020,c_amortizacion_intangibles,5621.0
2021,c_amortizacion_intangibles,7041.0
2022,c_amortizacion_intangibles,8312.0
2023,c_amortizacion_intangibles,2201.0
2024,c_amortizacion_intangibles,4681.0
2025,c_amortizacion_intangibles,5402.0
2020,c_amortizacion_otros,4165.0
2021,c_amortizacion_otros,4686.0
2022,c_amortizacion_otros,5231.0
2023,c_amortizacion_otros,6071.0
2024,c_amortizacion_otros,7881.0
2025,c_amortizacion_otros,7867.0
2020,c_aumento_neto,-371.0
2021,c_aumento_neto,-22934.0
2022,c_aumento_neto,-432.0
2023,c_aumento_neto,6774.0
2024,c_aumento_neto,19736.0
2025,c_aumento_neto,-1049.0
2020,c_baja_amortizacion_intangibles,
2021,c_baja_amortizacion_intangibles,
2022,c_baja_amortizacion_intangibles,
2023,c_baja_amortizacion_intangibles,
2024,c_baja_amortizacion_intangibles,
2025,c_baja_amortizacion_intangibles,-3197.0
2020,c_baja_depreciacion_ppye,-629.0
2021,c_baja_depreciacion_ppye,
2022,c_baja_depreciacion_ppye,-5118.0
2023,c_baja_depreciacion_ppye,
2024,c_baja_depreciacion_ppye,-145.0
2025,c_baja_depreciacion_ppye,-841.0
2020,c_baja_intangibles,
2021,c_baja_intangibles,4707.0
2022,c_baja_intangibles,1008.0
2023,c_baja_intangibles,124.0
2024,c_baja_intangibles,5174.0
2025,c_baja_intangibles,3863.0
2020,c_baja_ppye,641.0
2021,c_baja_ppye,7.0
2022,c_baja_ppye,5118.0
2023,c_baja_ppye,
2024,c_baja_ppye,181.0
2025,c_baja_ppye,841.0
2020,c_beneficios_empleados,621.0
2021,c_beneficios_empleados,-1874.0
2022,c_beneficios_empleados,1120.0
2023,c_beneficios_empleados,368.0
2024,c_beneficios_empleados,847.0
2025,c_beneficios_empleados,3375.0
2020,c_cuentas_por_cobrar,-6965.0
2021,c_cuentas_por_cobrar,-7471.0
2022,c_cuentas_por_cobrar,-12889.0
2023,c_cuentas_por_cobrar,7729.0
2024,c_cuentas_por_cobrar,18693.0
2025,c_cuentas_por_cobrar,-28838.0
2020,c_cuentas_por_pagar,293.0
2021,c_cuentas_por_pagar,3888.0
2022,c_cuentas_por_pagar,-4725.0
2023,c_cuentas_por_pagar,9747.0
2024,c_cuentas_por_pagar,-12102.0
2025,c_cuentas_por_pagar,-1984.0
2020,c_depreciacion,2527.0
2021,c_depreciacion,1365.0
2022,c_depreciacion,606.0
2023,c_depreciacion,480.0
2024,c_depreciacion,530.0
2025,c_depreciacion,550.0
2020,c_depreciacion_derecho_uso,1577.0
2021,c_depreciacion_derecho_uso,1403.0
2022,c_depreciacion_derecho_uso,1481.0
2023,c_depreciacion_derecho_uso,1542.0
2024,c_depreciacion_derecho_uso,1723.0
2025,c_depreciacion_derecho_uso,2073.0
2020,c_deterioro_cxc,-331.0
2021,c_deterioro_cxc,2199.0
2022,c_deterioro_cxc,2130.0
2023,c_deterioro_cxc,5378.0
2024,c_deterioro_cxc,-617.0
2025,c_deterioro_cxc,811.0
2020,c_dividendos,-43264.0
2021,c_dividendos,-57245.0
2022,c_dividendos,-56872.0
2023,c_dividendos,-39739.0
2024,c_dividendos,-59859.0
2025,c_dividendos,-5033.0
2020,c_efectivo_cierre,43925.0
2021,c_efectivo_cierre,20991.0
2022,c_efectivo_cierre,20559.0
2023,c_efectivo_cierre,27333.0
2024,c_efectivo_cierre,47069.0
2025,c_efectivo_cierre,46020.0
2020,c_efectivo_inicio,44296.0
2021,c_efectivo_inicio,43925.0
2022,c_efectivo_inicio,20991.0
2023,c_efectivo_inicio,20559.0
2024,c_efectivo_inicio,27333.0
2025,c_efectivo_inicio,47069.0
2020,c_efectivo_restriccion,18880.0
2021,c_efectivo_restriccion,18880.0
2022,c_efectivo_restriccion,1.0
2023,c_efectivo_restriccion,1.0
2024,c_efectivo_restriccion,1474.0
2025,c_efectivo_restriccion,1493.0
2020,c_efectivo_sin_restriccion,25416.0
2021,c_efectivo_sin_restriccion,25045.0
2022,c_efectivo_sin_restriccion,20990.0
2023,c_efectivo_sin_restriccion,20558.0
2024,c_efectivo_sin_restriccion,25859.0
2025,c_efectivo_sin_restriccion,45576.0
2020,c_flujo_financiacion,-44487.0
2021,c_flujo_financiacion,-58391.0
2022,c_flujo_financiacion,-58407.0
2023,c_flujo_financiacion,-41202.0
2024,c_flujo_financiacion,-61642.0
2025,c_flujo_financiacion,-7179.0
2020,c_flujo_inversion,-20416.0
2021,c_flujo_inversion,-27968.0
2022,c_flujo_inversion,11898.0
2023,c_flujo_inversion,1539.0
2024,c_flujo_inversion,88797.0
2025,c_flujo_inversion,21033.0
2020,c_flujo_operacion,64532.0
2021,c_flujo_operacion,63425.0
2022,c_flujo_operacion,46077.0
2023,c_flujo_operacion,46437.0
2024,c_flujo_operacion,-7419.0
2025,c_flujo_operacion,-14903.0
2020,c_gasto_impuesto_corriente,27533.0
2021,c_gasto_impuesto_corriente,32925.0
2022,c_gasto_impuesto_corriente,37950.0
2023,c_gasto_impuesto_corriente,42176.0
2024,c_gasto_impuesto_corriente,21974.0
2025,c_gasto_impuesto_corriente,27545.0
2020,c_gasto_impuesto_diferido,4404.0
2021,c_gasto_impuesto_diferido,-8389.0
2022,c_gasto_impuesto_diferido,-9058.0
2023,c_gasto_impuesto_diferido,6197.0
2024,c_gasto_impuesto_diferido,-6356.0
2025,c_gasto_impuesto_diferido,-256.0
2020,c_impuestos_neto,17833.0
2021,c_impuestos_neto,1941.0
2022,c_impuestos_neto,-1517.0
2023,c_impuestos_neto,-9340.0
2024,c_impuestos_neto,-13135.0
2025,c_impuestos_neto,4306.0
2020,c_impuestos_pagados,-26422.0
2021,c_impuestos_pagados,-26124.0
2022,c_impuestos_pagados,-30693.0
2023,c_impuestos_pagados,-31518.0
2024,c_impuestos_pagados,-32679.0
2025,c_impuestos_pagados,-39786.0
2020,c_intereses_arrendamiento,928.0
2021,c_intereses_arrendamiento,746.0
2022,c_intereses_arrendamiento,670.0
2023,c_intereses_arrendamiento,667.0
2024,c_intereses_arrendamiento,695.0
2025,c_intereses_arrendamiento,578.0
2020,c_intereses_pagados,-928.0
2021,c_intereses_pagados,-746.0
2022,c_intereses_pagados,-670.0
2023,c_intereses_pagados,-667.0
2024,c_intereses_pagados,-695.0
2025,c_intereses_pagados,-578.0
2020,c_inversiones,-13673.0
2021,c_inversiones,-23752.0
2022,c_inversiones,15341.0
2023,c_inversiones,6816.0
2024,c_inversiones,95024.0
2025,c_inversiones,27622.0
2020,c_otros_activos,-4453.0
2021,c_otros_activos,-10427.0
2022,c_otros_activos,-6688.0
2023,c_otros_activos,-7002.0
2024,c_otros_activos,-12235.0
2025,c_otros_activos,-7804.0
2020,c_pagos_arrendamiento,-1223.0
2021,c_pagos_arrendamiento,-1146.0
2022,c_pagos_arrendamiento,-1535.0
2023,c_pagos_arrendamiento,-1463.0
2024,c_pagos_arrendamiento,-1783.0
2025,c_pagos_arrendamiento,-2146.0
2020,c_pasivos_provisiones,5716.0
2021,c_pasivos_provisiones,1357.0
2022,c_pasivos_provisiones,169.0
2023,c_pasivos_provisiones,-3031.0
2024,c_pasivos_provisiones,-500.0
2025,c_pasivos_provisiones,-833.0
2020,c_provisiones,2646.0
2021,c_provisiones,3374.0
2022,c_provisiones,7157.0
2023,c_provisiones,4555.0
2024,c_provisiones,141.0
2025,c_provisiones,21.0
2020,c_reintegro_provisiones,-6023.0
2021,c_reintegro_provisiones,-1505.0
2022,c_reintegro_provisiones,-1788.0
2023,c_reintegro_provisiones,-2302.0
2024,c_reintegro_provisiones,-1907.0
2025,c_reintegro_provisiones,-1074.0
2020,c_utilidad_del_ejercicio,58220.0
2021,c_utilidad_del_ejercicio,47632.0
2022,c_utilidad_del_ejercicio,36237.0
2023,c_utilidad_del_ejercicio,70126.0
2024,c_utilidad_del_ejercicio,20997.0
2025,c_utilidad_del_ejercicio,30947.0
2020,c_valoracion_inversiones,-22442.0
2021,c_valoracion_inversiones,6690.0
2022,c_valoracion_inversiones,12034.0
2023,c_valoracion_inversiones,-57064.0
2024,c_valoracion_inversiones,-10566.0
2025,c_valoracion_inversiones,-17891.0
2020,i_amortizaciones,9786.0
2021,i_amortizaciones,11727.0
2022,i_amortizaciones,13543.0
2023,i_amortizaciones,8272.0
2024,i_amortizaciones,12562.0
2025,i_amortizaciones,13269.0
2020,i_comisiones,168993.0
2021,i_comisiones,187571.0
2022,i_comisiones,207295.0
2023,i_comisiones,195117.0
2024,i_comisiones,197611.0
2025,i_comisiones,228192.0
2020,i_comprehensivo_total,58074.0
2021,i_comprehensivo_total,47132.0
2022,i_comprehensivo_total,37309.0
2023,i_comprehensivo_total,70063.0
2024,i_comprehensivo_total,20927.0
2025,i_comprehensivo_total,38010.0
2020,i_depreciaciones,4099.0
2021,i_depreciaciones,2769.0
2022,i_depreciaciones,2087.0
2023,i_depreciaciones,2022.0
2024,i_depreciaciones,2253.0
2025,i_depreciaciones,2623.0
2020,i_deterioro_cxc,-331.0
2021,i_deterioro_cxc,2199.0
2022,i_deterioro_cxc,2130.0
2023,i_deterioro_cxc,5378.0
2024,i_deterioro_cxc,-617.0
2025,i_deterioro_cxc,811.0
2020,i_gasto_beneficios,31241.0
2021,i_gasto_beneficios,29709.0
2022,i_gasto_beneficios,34482.0
2023,i_gasto_beneficios,40726.0
2024,i_gasto_beneficios,47165.0
2025,i_gasto_beneficios,52971.0
2020,i_gasto_impuesto_corriente,27533.0
2021,i_gasto_impuesto_corriente,32925.0
2022,i_gasto_impuesto_corriente,37950.0
2023,i_gasto_impuesto_corriente,42176.0
2024,i_gasto_impuesto_corriente,21974.0
2025,i_gasto_impuesto_corriente,27545.0
2020,i_gasto_impuesto_diferido,4404.0
2021,i_gasto_impuesto_diferido,-8389.0
2022,i_gasto_impuesto_diferido,-9058.0
2023,i_gasto_impuesto_diferido,6197.0
2024,i_gasto_impuesto_diferido,-6356.0
2025,i_gasto_impuesto_diferido,-256.0
2020,i_gastos_administracion,73157.0
2021,i_gastos_administracion,67724.0
2022,i_gastos_administracion,78846.0
2023,i_gastos_administracion,96291.0
2024,i_gastos_administracion,129257.0
2025,i_gastos_administracion,136700.0
2020,i_gastos_operaciones_conjuntas,13092.0
2021,i_gastos_operaciones_conjuntas,10827.0
2022,i_gastos_operaciones_conjuntas,8627.0
2023,i_gastos_operaciones_conjuntas,9867.0
2024,i_gastos_operaciones_conjuntas,16582.0
2025,i_gastos_operaciones_conjuntas,17634.0
2020,i_impuesto_diferido_ori,-146.0
2021,i_impuesto_diferido_ori,-464.0
2022,i_impuesto_diferido_ori,-1439.0
2023,i_impuesto_diferido_ori,
2024,i_impuesto_diferido_ori,50.0
2025,i_impuesto_diferido_ori,2412.0
2020,i_ingresos_operaciones_conjuntas,27805.0
2021,i_ingresos_operaciones_conjuntas,16690.0
2022,i_ingresos_operaciones_conjuntas,12691.0
2023,i_ingresos_operaciones_conjuntas,25837.0
2024,i_ingresos_operaciones_conjuntas,29141.0
2025,i_ingresos_operaciones_conjuntas,32611.0
2020,i_ori_actuarial,
2021,i_ori_actuarial,-37.0
2022,i_ori_actuarial,46.0
2023,i_ori_actuarial,-63.0
2024,i_ori_actuarial,3.0
2025,i_ori_actuarial,-4.0
2020,i_ori_inmuebles,
2021,i_ori_inmuebles,
2022,i_ori_inmuebles,2465.0
2023,i_ori_inmuebles,
2024,i_ori_inmuebles,
2025,i_ori_inmuebles,4666.0
2020,i_ori_titulos,
2021,i_ori_titulos,1.0
2022,i_ori_titulos,
2023,i_ori_titulos,
2024,i_ori_titulos,-123.0
2025,i_ori_titulos,-11.0
2020,i_ori_total,-146.0
2021,i_ori_total,-500.0
2022,i_ori_total,1072.0
2023,i_ori_total,-63.0
2024,i_ori_total,-70.0
2025,i_ori_total,7063.0
2020,i_otros_ingresos_egresos,6612.0
2021,i_otros_ingresos_egresos,1180.0
2022,i_otros_ingresos_egresos,-2926.0
2023,i_otros_ingresos_egresos,-165.0
2024,i_otros_ingresos_egresos,5089.0
2025,i_otros_ingresos_egresos,3256.0
2020,i_resultado_antes_impuestos,90157.0
2021,i_resultado_antes_impuestos,72168.0
2022,i_resultado_antes_impuestos,65129.0
2023,i_resultado_antes_impuestos,118499.0
2024,i_resultado_antes_impuestos,36615.0
2025,i_resultado_antes_impuestos,58236.0
2020,i_resultado_del_ejercicio,58220.0
2021,i_resultado_del_ejercicio,47632.0
2022,i_resultado_del_ejercicio,36237.0
2023,i_resultado_del_ejercicio,70126.0
2024,i_resultado_del_ejercicio,20997.0
2025,i_resultado_del_ejercicio,30947.0
2020,i_resultado_despues_gastos,65754.0
2021,i_resultado_despues_gastos,79306.0
2022,i_resultado_despues_gastos,80271.0
2023,i_resultado_despues_gastos,58398.0
2024,i_resultado_despues_gastos,19550.0
2025,i_resultado_despues_gastos,36795.0
2020,i_resultado_financiero_neto,17791.0
2021,i_resultado_financiero_neto,-8318.0
2022,i_resultado_financiero_neto,-12216.0
2023,i_resultado_financiero_neto,60266.0
2024,i_resultado_financiero_neto,11976.0
2025,i_resultado_financiero_neto,18185.0
2020,i_resultado_operacional,83545.0
2021,i_resultado_operacional,70988.0
2022,i_resultado_operacional,68055.0
2023,i_resultado_operacional,118664.0
2024,i_resultado_operacional,31526.0
2025,i_resultado_operacional,54980.0
2020,i_utilidad_bruta,196798.0
2021,i_utilidad_bruta,204261.0
2022,i_utilidad_bruta,219986.0
2023,i_utilidad_bruta,220954.0
2024,i_utilidad_bruta,226752.0
2025,i_utilidad_bruta,260803.0
