anio,numero,indicador,clasificacion,formula,valor,estado,motivo,fuente,condicional
2022,3,Razon de efectivo,Liquidez,Efectivo y equivalentes de efectivo / Pasivo corriente,0.476333,OK,Cobertura inmediata de pasivos con caja. Valor 0.476333 dentro de rango normal.,"Screening de caja: < 0,30 vigilancia; < 0,20 dependencia de ingresos futuros.",NO
2023,3,Razon de efectivo,Liquidez,Efectivo y equivalentes de efectivo / Pasivo corriente,0.52209,OK,Cobertura inmediata de pasivos con caja. Valor 0.52209 dentro de rango normal.,"Screening de caja: < 0,30 vigilancia; < 0,20 dependencia de ingresos futuros.",NO
2024,3,Razon de efectivo,Liquidez,Efectivo y equivalentes de efectivo / Pasivo corriente,1.53319,OK,Cobertura inmediata de pasivos con caja. Valor 1.53319 dentro de rango normal.,"Screening de caja: < 0,30 vigilancia; < 0,20 dependencia de ingresos futuros.",NO
2025,3,Razon de efectivo,Liquidez,Efectivo y equivalentes de efectivo / Pasivo corriente,1.41491,OK,Cobertura inmediata de pasivos con caja. Valor 1.41491 dentro de rango normal.,"Screening de caja: < 0,30 vigilancia; < 0,20 dependencia de ingresos futuros.",NO
2020,4,Capital de trabajo neto,Liquidez,Activo corriente - Pasivo corriente,281459,OK,Capital de trabajo neto negativo = descobertura de corto plazo. Valor 281459 dentro de rango normal.,CT neto < 0 indica que activos corrientes no cubren pasivos corrientes.,NO
2021,4,Capital de trabajo neto,Liquidez,Activo corriente - Pasivo corriente,271188,OK,Capital de trabajo neto negativo = descobertura de corto plazo. Valor 271188 dentro de rango normal.,CT neto < 0 indica que activos corrientes no cubren pasivos corrientes.,NO
2022,4,Capital de trabajo neto,Liquidez,Activo corriente - Pasivo corriente,252853,OK,Capital de trabajo neto negativo = descobertura de corto plazo. Valor 252853 dentro de rango normal.,CT neto < 0 indica que activos corrientes no cubren pasivos corrientes.,NO
2023,4,Capital de trabajo neto,Liquidez,Activo corriente - Pasivo corriente,288395,OK,Capital de trabajo neto negativo = descobertura de corto plazo. Valor 288395 dentro de rango normal.,CT neto < 0 indica que activos corrientes no cubren pasivos corrientes.,NO
2024,4,Capital de trabajo neto,Liquidez,Activo corriente - Pasivo corriente,243243,OK,Capital de trabajo neto negativo = descobertura de corto plazo. Valor 243243 dentro de rango normal.,CT neto < 0 indica que activos corrientes no cubren pasivos corrientes.,NO
2025,4,Capital de trabajo neto,Liquidez,Activo corriente - Pasivo corriente,268659,OK,Capital de trabajo neto negativo = descobertura de corto plazo. Valor 268659 dentro de rango normal.,CT neto < 0 indica que activos corrientes no cubren pasivos corrientes.,NO
2020,5,Capital de trabajo / Activos,Liquidez,Capital de trabajo neto / Activo total,0.783997,OK,Capital de trabajo neto sobre activos negativo. Valor 0.783997 dentro de rango normal.,Indicador de colchón financiero relativo al activo.,NO
2021,5,Capital de trabajo / Activos,Liquidez,Capital de trabajo neto / Activo total,0.778636,OK,Capital de trabajo neto sobre activos negativo. Valor 0.778636 dentro de rango normal.,Indicador de colchón financiero relativo al activo.,NO
2022,5,Capital de trabajo / Activos,Liquidez,Capital de trabajo neto / Activo total,0.755184,OK,Capital de trabajo neto sobre activos negativo. Valor 0.755184 dentro de rango normal.,Indicador de colchón financiero relativo al activo.,NO
2023,5,Capital de trabajo / Activos,Liquidez,Capital de trabajo neto / Activo total,0.767041,OK,Capital de trabajo neto sobre activos negativo. Valor 0.767041 dentro de rango normal.,Indicador de colchón financiero relativo al activo.,NO
2024,5,Capital de trabajo / Activos,Liquidez,Capital de trabajo neto / Activo total,0.772298,OK,Capital de trabajo neto sobre activos negativo. Valor 0.772298 dentro de rango normal.,Indicador de colchón financiero relativo al activo.,NO
2025,5,Capital de trabajo / Activos,Liquidez,Capital de trabajo neto / Activo total,0.771723,OK,Capital de trabajo neto sobre activos negativo. Valor 0.771723 dentro de rango normal.,Indicador de colchón financiero relativo al activo.,NO
2020,6,Endeudamiento total,Endeudamiento y solvencia,Pasivo total / Activo total,0.183855,OK,Endeudamiento sobre activos. Valor 0.183855 dentro de rango normal.,Screening de apalancamiento: > 50% vigilancia; > 60% nivel alto.,NO
2021,6,Endeudamiento total,Endeudamiento y solvencia,Pasivo total / Activo total,0.187771,OK,Endeudamiento sobre activos. Valor 0.187771 dentro de rango normal.,Screening de apalancamiento: > 50% vigilancia; > 60% nivel alto.,NO
2022,6,Endeudamiento total,Endeudamiento y solvencia,Pasivo total / Activo total,0.21354,OK,Endeudamiento sobre activos. Valor 0.21354 dentro de rango normal.,Screening de apalancamiento: > 50% vigilancia; > 60% nivel alto.,NO
2023,6,Endeudamiento total,Endeudamiento y solvencia,Pasivo total / Activo total,0.218985,OK,Endeudamiento sobre activos. Valor 0.218985 dentro de rango normal.,Screening de apalancamiento: > 50% vigilancia; > 60% nivel alto.,NO
2024,6,Endeudamiento total,Endeudamiento y solvencia,Pasivo total / Activo total,0.190827,OK,Endeudamiento sobre activos. Valor 0.190827 dentro de rango normal.,Screening de apalancamiento: > 50% vigilancia; > 60% nivel alto.,NO
2025,6,Endeudamiento total,Endeudamiento y solvencia,Pasivo total / Activo total,0.173197,OK,Endeudamiento sobre activos. Valor 0.173197 dentro de rango normal.,Screening de apalancamiento: > 50% vigilancia; > 60% nivel alto.,NO
2020,7,Endeudamiento patrimonial,Endeudamiento y solvencia,Pasivo total / Patrimonio,0.225273,OK,Pasivo sobre patrimonio. Valor 0.225273 dentro de rango normal.,"Convencional: pasivo > patrimonio usado como señal ( > 1,5 fuerte).",NO
2021,7,Endeudamiento patrimonial,Endeudamiento y solvencia,Pasivo total / Patrimonio,0.23118,OK,Pasivo sobre patrimonio. Valor 0.23118 dentro de rango normal.,"Convencional: pasivo > patrimonio usado como señal ( > 1,5 fuerte).",NO
2022,7,Endeudamiento patrimonial,Endeudamiento y solvencia,Pasivo total / Patrimonio,0.27152,OK,Pasivo sobre patrimonio. Valor 0.27152 dentro de rango normal.,"Convencional: pasivo > patrimonio usado como señal ( > 1,5 fuerte).",NO
2023,7,Endeudamiento patrimonial,Endeudamiento y solvencia,Pasivo total / Patrimonio,0.280386,OK,Pasivo sobre patrimonio. Valor 0.280386 dentro de rango normal.,"Convencional: pasivo > patrimonio usado como señal ( > 1,5 fuerte).",NO
2024,7,Endeudamiento patrimonial,Endeudamiento y solvencia,Pasivo total / Patrimonio,0.23583,OK,Pasivo sobre patrimonio. Valor 0.23583 dentro de rango normal.,"Convencional: pasivo > patrimonio usado como señal ( > 1,5 fuerte).",NO
2025,7,Endeudamiento patrimonial,Endeudamiento y solvencia,Pasivo total / Patrimonio,0.209478,OK,Pasivo sobre patrimonio. Valor 0.209478 dentro de rango normal.,"Convencional: pasivo > patrimonio usado como señal ( > 1,5 fuerte).",NO
2020,8,Deuda financiera / Activos,Endeudamiento y solvencia,Deuda financiera / Activo total,0.0269885,OK,Deuda financiera sobre activos. Valor 0.0269885 dentro de rango normal.,Exposición financiera relativa al activo.,NO
2021,8,Deuda financiera / Activos,Endeudamiento y solvencia,Deuda financiera / Activo total,0.0223006,OK,Deuda financiera sobre activos. Valor 0.0223006 dentro de rango normal.,Exposición financiera relativa al activo.,NO
2022,8,Deuda financiera / Activos,Endeudamiento y solvencia,Deuda financiera / Activo total,0.0185382,OK,Deuda financiera sobre activos. Valor 0.0185382 dentro de rango normal.,Exposición financiera relativa al activo.,NO
2023,8,Deuda financiera / Activos,Endeudamiento y solvencia,Deuda financiera / Activo total,0.0168385,OK,Deuda financiera sobre activos. Valor 0.0168385 dentro de rango normal.,Exposición financiera relativa al activo.,NO
2024,8,Deuda financiera / Activos,Endeudamiento y solvencia,Deuda financiera / Activo total,0.0194215,OK,Deuda financiera sobre activos. Valor 0.0194215 dentro de rango normal.,Exposición financiera relativa al activo.,NO
2025,8,Deuda financiera / Activos,Endeudamiento y solvencia,Deuda financiera / Activo total,0.0152415,OK,Deuda financiera sobre activos. Valor 0.0152415 dentro de rango normal.,Exposición financiera relativa al activo.,NO
2020,9,Deuda financiera / Patrimonio,Endeudamiento y solvencia,Deuda financiera / Patrimonio,0.0330683,OK,Deuda financiera sobre patrimonio. Valor 0.0330683 dentro de rango normal.,Apalancamiento financiero estricto.,NO
2021,9,Deuda financiera / Patrimonio,Endeudamiento y solvencia,Deuda financiera / Patrimonio,0.0274561,OK,Deuda financiera sobre patrimonio. Valor 0.0274561 dentro de rango normal.,Apalancamiento financiero estricto.,NO
2022,9,Deuda financiera / Patrimonio,Endeudamiento y solvencia,Deuda financiera / Patrimonio,0.0235716,OK,Deuda financiera sobre patrimonio. Valor 0.0235716 dentro de rango normal.,Apalancamiento financiero estricto.,NO
2023,9,Deuda financiera / Patrimonio,Endeudamiento y solvencia,Deuda financiera / Patrimonio,0.0215598,OK,Deuda financiera sobre patrimonio. Valor 0.0215598 dentro de rango normal.,Apalancamiento financiero estricto.,NO
2024,9,Deuda financiera / Patrimonio,Endeudamiento y solvencia,Deuda financiera / Patrimonio,0.0240017,OK,Deuda financiera sobre patrimonio. Valor 0.0240017 dentro de rango normal.,Apalancamiento financiero estricto.,NO
2025,9,Deuda financiera / Patrimonio,Endeudamiento y solvencia,Deuda financiera / Patrimonio,0.0184342,OK,Deuda financiera sobre patrimonio. Valor 0.0184342 dentro de rango normal.,Apalancamiento financiero estricto.,NO
2020,10,Autonomia financiera,Endeudamiento y solvencia,Patrimonio / Activo total,0.816145,OK,Autonomía financiera (patrimonio/activo). Valor 0.816145 dentro de rango normal.,Patrimonio < 40% del activo vigila dependencia de terceros; < 30% prestamista.,NO
2021,10,Autonomia financiera,Endeudamiento y solvencia,Patrimonio / Activo total,0.812229,OK,Autonomía financiera (patrimonio/activo). Valor 0.812229 dentro de rango normal.,Patrimonio < 40% del activo vigila dependencia de terceros; < 30% prestamista.,NO
2022,10,Autonomia financiera,Endeudamiento y solvencia,Patrimonio / Activo total,0.78646,OK,Autonomía financiera (patrimonio/activo). Valor 0.78646 dentro de rango normal.,Patrimonio < 40% del activo vigila dependencia de terceros; < 30% prestamista.,NO
2023,10,Autonomia financiera,Endeudamiento y solvencia,Patrimonio / Activo total,0.781015,OK,Autonomía financiera (patrimonio/activo). Valor 0.781015 dentro de rango normal.,Patrimonio < 40% del activo vigila dependencia de terceros; < 30% prestamista.,NO
2024,10,Autonomia financiera,Endeudamiento y solvencia,Patrimonio / Activo total,0.809173,OK,Autonomía financiera (patrimonio/activo). Valor 0.809173 dentro de rango normal.,Patrimonio < 40% del activo vigila dependencia de terceros; < 30% prestamista.,NO
2025,10,Autonomia financiera,Endeudamiento y solvencia,Patrimonio / Activo total,0.826803,OK,Autonomía financiera (patrimonio/activo). Valor 0.826803 dentro de rango normal.,Patrimonio < 40% del activo vigila dependencia de terceros; < 30% prestamista.,NO
2020,11,Apalancamiento financiero,Endeudamiento y solvencia,Activo total / Patrimonio,1.22527,OK,Multiplicador activo/patrimonio. Valor 1.22527 dentro de rango normal.,"Estimación conservadora (DuPont); > 2,5 apalancamiento alto.",NO
2021,11,Apalancamiento financiero,Endeudamiento y solvencia,Activo total / Patrimonio,1.23118,OK,Multiplicador activo/patrimonio. Valor 1.23118 dentro de rango normal.,"Estimación conservadora (DuPont); > 2,5 apalancamiento alto.",NO
2022,11,Apalancamiento financiero,Endeudamiento y solvencia,Activo total / Patrimonio,1.27152,OK,Multiplicador activo/patrimonio. Valor 1.27152 dentro de rango normal.,"Estimación conservadora (DuPont); > 2,5 apalancamiento alto.",NO
2023,11,Apalancamiento financiero,Endeudamiento y solvencia,Activo total / Patrimonio,1.28039,OK,Multiplicador activo/patrimonio. Valor 1.28039 dentro de rango normal.,"Estimación conservadora (DuPont); > 2,5 apalancamiento alto.",NO
2024,11,Apalancamiento financiero,Endeudamiento y solvencia,Activo total / Patrimonio,1.23583,OK,Multiplicador activo/patrimonio. Valor 1.23583 dentro de rango normal.,"Estimación conservadora (DuPont); > 2,5 apalancamiento alto.",NO
2025,11,Apalancamiento financiero,Endeudamiento y solvencia,Activo total / Patrimonio,1.20948,OK,Multiplicador activo/patrimonio. Valor 1.20948 dentro de rango normal.,"Estimación conservadora (DuPont); > 2,5 apalancamiento alto.",NO
2020,12,Calidad de la deuda,Endeudamiento y solvencia,Pasivo corriente / Pasivo total,0.554867,OK,Participación de pasivo corriente en el pasivo total. Valor 0.554867 dentro de rango normal.,Concentración de deuda corto plazo -> presión de circulante.,NO
2021,12,Calidad de la deuda,Endeudamiento y solvencia,Pasivo corriente / Pasivo total,0.630264,OK,Participación de pasivo corriente en el pasivo total. Valor 0.630264 dentro de rango normal.,Concentración de deuda corto plazo -> presión de circulante.,NO
2022,12,Calidad de la deuda,Endeudamiento y solvencia,Pasivo corriente / Pasivo total,0.603667,OK,Participación de pasivo corriente en el pasivo total. Valor 0.603667 dentro de rango normal.,Concentración de deuda corto plazo -> presión de circulante.,NO
2023,12,Calidad de la deuda,Endeudamiento y solvencia,Pasivo corriente / Pasivo total,0.635854,OK,Participación de pasivo corriente en el pasivo total. Valor 0.635854 dentro de rango normal.,Concentración de deuda corto plazo -> presión de circulante.,NO
2024,12,Calidad de la deuda,Endeudamiento y solvencia,Pasivo corriente / Pasivo total,0.51079,OK,Participación de pasivo corriente en el pasivo total. Valor 0.51079 dentro de rango normal.,Concentración de deuda corto plazo -> presión de circulante.,NO
2025,12,Calidad de la deuda,Endeudamiento y solvencia,Pasivo corriente / Pasivo total,0.539431,OK,Participación de pasivo corriente en el pasivo total. Valor 0.539431 dentro de rango normal.,Concentración de deuda corto plazo -> presión de circulante.,NO
2020,13,Solvencia total,Endeudamiento y solvencia,Activo total / Pasivo total,5.43906,OK,Activo total sobre pasivo total. Valor 5.43906 dentro de rango normal.,"Solvencia; < 1,5 vigilancia; < 1,2 pérdida de cobertura global.",NO
2021,13,Solvencia total,Endeudamiento y solvencia,Activo total / Pasivo total,5.32564,OK,Activo total sobre pasivo total. Valor 5.32564 dentro de rango normal.,"Solvencia; < 1,5 vigilancia; < 1,2 pérdida de cobertura global.",NO
2022,13,Solvencia total,Endeudamiento y solvencia,Activo total / Pasivo total,4.68297,OK,Activo total sobre pasivo total. Valor 4.68297 dentro de rango normal.,"Solvencia; < 1,5 vigilancia; < 1,2 pérdida de cobertura global.",NO
2023,13,Solvencia total,Endeudamiento y solvencia,Activo total / Pasivo total,4.56651,OK,Activo total sobre pasivo total. Valor 4.56651 dentro de rango normal.,"Solvencia; < 1,5 vigilancia; < 1,2 pérdida de cobertura global.",NO
2024,13,Solvencia total,Endeudamiento y solvencia,Activo total / Pasivo total,5.24034,OK,Activo total sobre pasivo total. Valor 5.24034 dentro de rango normal.,"Solvencia; < 1,5 vigilancia; < 1,2 pérdida de cobertura global.",NO
2025,13,Solvencia total,Endeudamiento y solvencia,Activo total / Pasivo total,5.77376,OK,Activo total sobre pasivo total. Valor 5.77376 dentro de rango normal.,"Solvencia; < 1,5 vigilancia; < 1,2 pérdida de cobertura global.",NO
2020,14,Pasivo / Capital,Endeudamiento y solvencia,Pasivo total / (Pasivo total + Patrimonio),0.183855,OK,Pasivo sobre activo (proxy capital estructura). Valor 0.183855 dentro de rango normal.,Complementario a Endeudamiento total.,NO
2021,14,Pasivo / Capital,Endeudamiento y solvencia,Pasivo total / (Pasivo total + Patrimonio),0.187771,OK,Pasivo sobre activo (proxy capital estructura). Valor 0.187771 dentro de rango normal.,Complementario a Endeudamiento total.,NO
2022,14,Pasivo / Capital,Endeudamiento y solvencia,Pasivo total / (Pasivo total + Patrimonio),0.21354,OK,Pasivo sobre activo (proxy capital estructura). Valor 0.21354 dentro de rango normal.,Complementario a Endeudamiento total.,NO
2023,14,Pasivo / Capital,Endeudamiento y solvencia,Pasivo total / (Pasivo total + Patrimonio),0.218985,OK,Pasivo sobre activo (proxy capital estructura). Valor 0.218985 dentro de rango normal.,Complementario a Endeudamiento total.,NO
2024,14,Pasivo / Capital,Endeudamiento y solvencia,Pasivo total / (Pasivo total + Patrimonio),0.190827,OK,Pasivo sobre activo (proxy capital estructura). Valor 0.190827 dentro de rango normal.,Complementario a Endeudamiento total.,NO
2025,14,Pasivo / Capital,Endeudamiento y solvencia,Pasivo total / (Pasivo total + Patrimonio),0.173197,OK,Pasivo sobre activo (proxy capital estructura). Valor 0.173197 dentro de rango normal.,Complementario a Endeudamiento total.,NO
2020,15,Rotacion de activos totales,Actividad y eficiencia,Ingresos / ((Activo total actual + Activo total anterior) / 2),,NO_ENCONTRADO,Sin valor en indicadores.csv para este año,Screening: valores negativos de rotación implican insumo inconsistente.,NO
2021,15,Rotacion de activos totales,Actividad y eficiencia,Ingresos / ((Activo total actual + Activo total anterior) / 2),0.577587,OK,Rotación de activos negativa no interpretable. Valor 0.577587 dentro de rango normal.,Screening: valores negativos de rotación implican insumo inconsistente.,NO
2022,15,Rotacion de activos totales,Actividad y eficiencia,Ingresos / ((Activo total actual + Activo total anterior) / 2),0.644073,OK,Rotación de activos negativa no interpretable. Valor 0.644073 dentro de rango normal.,Screening: valores negativos de rotación implican insumo inconsistente.,NO
2023,15,Rotacion de activos totales,Actividad y eficiencia,Ingresos / ((Activo total actual + Activo total anterior) / 2),0.621699,OK,Rotación de activos negativa no interpretable. Valor 0.621699 dentro de rango normal.,Screening: valores negativos de rotación implican insumo inconsistente.,NO
2024,15,Rotacion de activos totales,Actividad y eficiencia,Ingresos / ((Activo total actual + Activo total anterior) / 2),0.656354,OK,Rotación de activos negativa no interpretable. Valor 0.656354 dentro de rango normal.,Screening: valores negativos de rotación implican insumo inconsistente.,NO
2025,15,Rotacion de activos totales,Actividad y eficiencia,Ingresos / ((Activo total actual + Activo total anterior) / 2),0.78663,OK,Rotación de activos negativa no interpretable. Valor 0.78663 dentro de rango normal.,Screening: valores negativos de rotación implican insumo inconsistente.,NO
2020,16,Rotacion de activos fijos,Actividad y eficiencia,Ingresos / ((Activo no corriente actual + anterior) / 2),,NO_ENCONTRADO,Sin valor en indicadores.csv para este año,Screening.,NO
2021,16,Rotacion de activos fijos,Actividad y eficiencia,Ingresos / ((Activo no corriente actual + anterior) / 2),5.31916,OK,Rotación de activos fijos negativa no interpretable. Valor 5.31916 dentro de rango normal.,Screening.,NO
2022,16,Rotacion de activos fijos,Actividad y eficiencia,Ingresos / ((Activo no corriente actual + anterior) / 2),5.89072,OK,Rotación de activos fijos negativa no interpretable. Valor 5.89072 dentro de rango normal.,Screening.,NO
2023,16,Rotacion de activos fijos,Actividad y eficiencia,Ingresos / ((Activo no corriente actual + anterior) / 2),5.9681,OK,Rotación de activos fijos negativa no interpretable. Valor 5.9681 dentro de rango normal.,Screening.,NO
2024,16,Rotacion de activos fijos,Actividad y eficiencia,Ingresos / ((Activo no corriente actual + anterior) / 2),5.94736,OK,Rotación de activos fijos negativa no interpretable. Valor 5.94736 dentro de rango normal.,Screening.,NO
2025,16,Rotacion de activos fijos,Actividad y eficiencia,Ingresos / ((Activo no corriente actual + anterior) / 2),5.9299,OK,Rotación de activos fijos negativa no interpretable. Valor 5.9299 dentro de rango normal.,Screening.,NO
2020,17,Rotacion de cuentas por cobrar,Actividad y eficiencia,Ingresos / ((Cuentas por cobrar actual + anterior) / 2),,NO_ENCONTRADO,Sin valor en indicadores.csv para este año,Screening.,NO
2021,17,Rotacion de cuentas por cobrar,Actividad y eficiencia,Ingresos / ((Cuentas por cobrar actual + anterior) / 2),4.74276,OK,Rotación de cartera negativa no interpretable. Valor 4.74276 dentro de rango normal.,Screening.,NO
2022,17,Rotacion de cuentas por cobrar,Actividad y eficiencia,Ingresos / ((Cuentas por cobrar actual + anterior) / 2),4.30004,OK,Rotación de cartera negativa no interpretable. Valor 4.30004 dentro de rango normal.,Screening.,NO
2023,17,Rotacion de cuentas por cobrar,Actividad y eficiencia,Ingresos / ((Cuentas por cobrar actual + anterior) / 2),4.41374,OK,Rotación de cartera negativa no interpretable. Valor 4.41374 dentro de rango normal.,Screening.,NO
2024,17,Rotacion de cuentas por cobrar,Actividad y eficiencia,Ingresos / ((Cuentas por cobrar actual + anterior) / 2),6.57843,OK,Rotación de cartera negativa no interpretable. Valor 6.57843 dentro de rango normal.,Screening.,NO
2025,17,Rotacion de cuentas por cobrar,Actividad y eficiencia,Ingresos / ((Cuentas por cobrar actual + anterior) / 2),6.59309,OK,Rotación de cartera negativa no interpretable. Valor 6.59309 dentro de rango normal.,Screening.,NO
2020,18,Periodo medio de cobro,Actividad y eficiencia,365 / Rotacion de cuentas por cobrar,,NO_ENCONTRADO,Sin valor en indicadores.csv para este año,Cartera cobrada en > 120 días vigila; > 180 días señala deterioro del recaudo.,NO
2021,18,Periodo medio de cobro,Actividad y eficiencia,365 / Rotacion de cuentas por cobrar,76.9595,OK,Plazo medio de cobro en días. Valor 76.9595 dentro de rango normal.,Cartera cobrada en > 120 días vigila; > 180 días señala deterioro del recaudo.,NO
2022,18,Periodo medio de cobro,Actividad y eficiencia,365 / Rotacion de cuentas por cobrar,84.8828,OK,Plazo medio de cobro en días. Valor 84.8828 dentro de rango normal.,Cartera cobrada en > 120 días vigila; > 180 días señala deterioro del recaudo.,NO
2023,18,Periodo medio de cobro,Actividad y eficiencia,365 / Rotacion de cuentas por cobrar,82.6963,OK,Plazo medio de cobro en días. Valor 82.6963 dentro de rango normal.,Cartera cobrada en > 120 días vigila; > 180 días señala deterioro del recaudo.,NO
2024,18,Periodo medio de cobro,Actividad y eficiencia,365 / Rotacion de cuentas por cobrar,55.4843,OK,Plazo medio de cobro en días. Valor 55.4843 dentro de rango normal.,Cartera cobrada en > 120 días vigila; > 180 días señala deterioro del recaudo.,NO
2025,18,Periodo medio de cobro,Actividad y eficiencia,365 / Rotacion de cuentas por cobrar,55.361,OK,Plazo medio de cobro en días. Valor 55.361 dentro de rango normal.,Cartera cobrada en > 120 días vigila; > 180 días señala deterioro del recaudo.,NO
2020,19,Rotacion de inventarios,Actividad y eficiencia,Costo de ventas / ((Inventarios actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2021,19,Rotacion de inventarios,Actividad y eficiencia,Costo de ventas / ((Inventarios actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2022,19,Rotacion de inventarios,Actividad y eficiencia,Costo de ventas / ((Inventarios actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2023,19,Rotacion de inventarios,Actividad y eficiencia,Costo de ventas / ((Inventarios actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2024,19,Rotacion de inventarios,Actividad y eficiencia,Costo de ventas / ((Inventarios actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
2025,19,Rotacion de inventarios,Actividad y eficiencia,Costo de ventas / ((Inventarios actual + anterior) / 2),,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad: requiere inventarios/compras/costo de ventas.,RAZONAMIENTO_DECISIONES.md (Capa 4).,SI
